                                    repo,                                   commit, notebooks, language, version
          mauriciotejada/labor_economics, 1dd7432e37f08d280b9e06c09b4666ba57ce1a4a,         4,    python,   3.5.3
                  akashjaswal/algorithms, ed2b92e2ffb22e708fd03255b9ccf86194ab23cd,         1,    python,  2.7.12
                   cjauvin/lhs-notebooks, de38a74d5e1d3505ca00453cbfb05d46159f4c54,         2,    python,   3.6.3
marlon-rodrigues/ML---Machine-Learning---House-Pricing-Predictions, 7bb08779a1f0cdb26fbe473c667c70fae20cf4cc,         1,    python,  2.7.11
            dfigue92/nyc-school-analysis, aa37a60b6980c3945da187204ed64eb76c95fe6e,         1,    python,   3.6.3
megha25/Surviving-the-Titanic-and-Random-Classifiers, 969fb8d69ee555dc54bda398c0db722bdf7eba5c,         1,    python,  2.7.12
             nickrobinson251/py-lectures, 14161264519fc7110e41fd55b31d46928f122a16,         2,    python,   3.5.2
                     herwaldo/Simulacion, 574c9750f130a31c67a665165e2f327bf19bc538,         1,    python,   3.4.3
                JustM57/ChatBot-Tutorial, b41e9292fc016a84f697ae85a576ef3eee5dd950,         1,    python,   3.5.2
           thesupermanreturns/AIsaturday, 173ae83f99bab21be6cb5bbda087a8710c24b30f,         1,    python,   3.6.3
    pyashwanthkumar/Algorithms-In-Python, 0903b802377c903b195072c29790cdc7d87fdb9b,         1,    python,   3.5.2
                         caheredia/Hydro, 7558582de0e62b288c08910f08a6c6c827ab0c48,         1,    python,   3.6.0
                 Ferumdriel/jupyter-demo, 82b09dbf811ca2575481577df867d6c598c15934,         1,    python,   3.6.4
      wildlyclassyprince/robbins-formula, ca1170335f4841d0e2d3ec48b1fbc27c68f7b21e,         2,    python,   3.6.2
                         gaurav6351/NLTK, 501f76262c085533c873feeb817b0a744ec7eddb,         2,    python,  2.7.12
                         shenky1/Softver, 8e87d800971931ec40ca8b7d2c295b450a623d1f,         1,    python,   3.6.4
                 HugoGuillen/arff2pandas, f3b41e09f4a36650c5fe8f4baef020fcdd068bc4,         1,    python,   3.6.1
masterdatascienceifca/geocoding-laramaktub, 06742f1b2ade4ddf299bebd7b242b2453d0d7e35,         1,    python,   3.6.3
               JJLWHarrison/hr-analytics, ec2e8e24716095756a349e4c1144f6696f88e89d,         1,    python,   3.6.1
               randvoorhies/SimpleKalman, a37bd8e5a5f063a3dc34c334f808b2df08773e5d,         1,    python,  2.7.11
   jenniferpeebles/first-python-notebook, 6a11c54304dad6d75ffce86c272f5235f1568cde,         1,    python,  2.7.13
                   laholmes/the-bachelor, a7b8844f977b9a3f9fa7130cbc17297fd74077cd,         1,    python,   3.5.2
Alexbanana19/Reinforcement-Learning-An-Introduction, 39aeb1e99c8d7972ffebc7e73d53a34c27f81858,         2,    python,  2.7.13
            shrivastavapankajj/teststart, 56404a0dc275de6dec6911cbb2176b1fae644216,         1,    python,   3.6.1
                    finin/random_economy, 1e8ac4fb2820cb9acc1df5c5797bbd13296f6928,         1,    python,  2.7.11
                          arastel/INF725, 0d007787d3e1ebec734a601acbf88d6010fa3c51,         1,    python,  2.7.12
Pedroteixeirabisognin/Exercicio-Machine-Learning, 0c08589437ba16276bae316efe4e97bec136cff6,         1,    python,   3.6.1
              HaniMohamed/ObjectTracking, 2c54a6376dc5c2ab0bc68aef07be69b570e63155,         1,    python,   3.6.3
                    DuinoDu/CsdnBlogCode, 13998e954ed27775d2a982696775fac07e27177c,         1,    python,   2.7.6
                 bartonlab/lecture-notes, 3781e39d26c1daf840df5a9dfa1e077611b50472,         1,    python,   3.6.4
