                                    repo,                                   commit, notebooks, language, version
lukhar/machine-learning-a-probabilistic-perspective, e66b7bc03a5adf66d384f6915b0067c124dc2d78,         1,    python,   3.6.0
       liammcinroy/revl-ml-cpp-challenge, da66809c465a6212007463aa00766b2fbe7ce415,         1,    python,  2.7.13
                      ling592b/class_1-2, 272f1d17268396fc45daa5ce5d6927a11c838ec7,         1,    python,   3.6.3
           lionfish0/download_thingspeak, c425a3e00f6d50c8d7cfe1d80a9aa8b5a7ede368,         1,    python,   3.6.3
       litopia/dlnd-first-neural-network, 129e3ff6cee3cd69b00e3e6e0cda83da3eaa0e14,         1,    python,   3.6.1
littlepea/python-admin-business-logic-talk, 8d020ceb175492e25cd02e5960d6e0b966017f2b,         1,    python,  2.7.13
             liuzqt/ubuntu_dialog_corpus, a554580c8b35ebc0d101d9efd1323a96f2357de6,         1,    python,   3.5.2
                   lmarkely/bike_sharing, a30ad2b559fc304b69e113ff1f32b99701ca8713,         1,    python,   3.6.2
                 losc-tutorial/quickview, 0bb777e23e2b8e95f558f6543a462fadc47732d7,         1,    python,  2.7.12
                       lovit/KR-WordRank, 770ea1ee477461edf0f26c5728aa21cd0b0a9bd1,         1,    python,   3.5.2
                    lperozzi/SGeMS_utils, 2930a488ae165c3efbb1a3bc6a72172a0e6ee289,         1,    python,   3.5.2
                        ltiao/recomposed, 5476c5504249d4e30dbfb81fc18ea932bcbba0fd,         1,    python,   3.5.2
ltpitt/python-jupyter-deep-learning-neural-network, b203eaa6a3c1e3c11de90e2ddba92d1713f562e4,         1,    python,   3.6.1
                     lincolnfrias/binder, d81b83435525dafe84bd916f69c1798187f67547,         1,    python,   3.6.3
             metasyn/creditcardfrauddata, 1a7899816ae95ec1569ff9a5b62d1cb30762f1b9,         1,    python,   3.5.2
                        kojoidrissa/owwc, 659e32c1967160c8fccc211323b68d29ee808aec,         1,    python,   3.5.1
         kmpopova/udacity-dlnd-june-2017, 266ba7d9fd6dda40740600645025952d58a371da,         1,    python,   3.5.3
               hsiaoer/housing_estimates, e9ee878b453e1c18e75a2e216e82b84b1cca16e6,         1,    python,   3.6.2
              hughperkins/selfstudy-LIME, b892452eb0cbd38d77ce0b602e113a491611e132,         1,    python,   3.5.2
                hugohadfield/sym_scratch, 027a38499e6d0eb1fead720b0fe95cf7c38fe020,         1,    python,  2.7.11
      hugomailhot/neural-net-study-group, 0419f526fcc2aae00020a5c15f0454c957f0d24b,         1,    python,   3.5.2
              huichan/deep-learning-dlnd, 3de4c41b9a864f2f80ef28379c97eee559fc0082,         1,    python,   3.6.1
               zhouxiaoxiang/oriole-docs, aea92bf146f887d5a0119d961e67f70c09ef63c3,         1,    python,   3.5.2
        huuuuusy/Sharing-Bike-Prediction, e1895b9b6a42d3a420e147777d7c8284ad787d75,         1,    python,   3.6.1
                 hypercott/cryptoanalyze, dfb41a300cd6225640f2a521e56db491144c6cfc,         1,    python,   3.6.2
                    ianmathew90/redshift, 7c31b6030be0c7f0d0743f25246de3aba619f4ab,         1,    python,   3.4.3
ianozsvald/research_module_layout_template, 464fd071a2f6aff6d485fee51c58c77c2079377e,         1,    python,   3.6.0
                   ibarshai/jupyter_demo, 7f7c7ec2f041fb41ae09142c36705716b4eb1013,         1,    python,   3.6.2
                 hoyasam/bike_sharing_nn, 160764883c922dd7fdec91886ff54e98014d9496,         1,    python,   3.6.2
       ignaciovidalfranco/actividad3mfpd, 6d2302889b8d693a1aa51bccc2d8f35d54752402,         1,    python,   3.5.2
   igorgenuino/predict-daily-bike-rental, 3e0e5dfb1f5f0fc1e788109336c76ca30fde759b,         1,    python,   3.6.4
                        ihrke/pyjags-rpy, a8534769c6018179ba983533ac65887065853aa5,         1,    python,   2.7.6
                            ildarkit/hw7, a24ba6d7f116b29630e2983b20e7a1f3a8010c64,         1,    python,   3.5.2
                imWildCat/nd101-projects, 9b73052511162f2563869b83b9330ee85004b88e,         1,    python,   3.6.0
                      inders/Word2Vec-NN, 5cb84fba3eb69102ad11b33f7237b29b88491218,         1,    python,   3.6.0
           irglbriz/first-neural-network, c971bc6c395a194286af4b7bd0fdf5ec8073e63b,         1,    python,   3.6.1
                       iskreng/RNOffsets, a1c3cc9009b299c5fce8517c80962e25004f304c,         1,    python,   3.6.3
          ivanfoong/pdfeaturegen-example, 93cfdad0ed9a95cdff9c75dbd38c372e658d4633,         1,    python,   3.6.4
             ivicts/first_neural_network, ff3f8d2203c076dbecfe62ddd70c05e61af43c22,         1,    python,   3.6.2
ivogeorg/udcty-dlnd-weight-initialization, 9ac3d7fab304d3b24a3b64d59f4ae518e25a4ff5,         1,    python,   3.5.3
                   j6k4m8/PyTablePrinter, cb6ac58633ab9ecd60e7ccdbcb37843529216883,         1,    python,  2.7.10
       ignaciovidalfranco/tiroparabolico, fbd07f6083f953abf31442a6d8215a268fc60779,         1,    python,   3.5.2
          jack482653/GAN-tensorflow-impl, 196cb1650db7a52c418bfea462d708d73f88338a,         1,    python,   3.6.1
             howl-anderson/binder_tester, 5bc35aadbb38a6316110b1ad3ef61a98b8abc684,         1,    python,   3.6.4
                hnagib/Parametric-Curves, 5f833aa7dded4ae4584e55778a1f59a765d2c1b1,         1,    python,   3.5.2
    grantathon/crypto_portfolio_analysis, 72f8172c767451954b3ab3844cdd0479ec52dc2b,         1,    python,   3.6.2
granularity/neural-network-bike-sharing-project, a18bfd844d1ff6ac5369029b0807eafa81b28db4,         1,    python,   3.6.3
                      greglever/genomics, c0ba70aabfad89c121651b7da60811ae8845ba2d,         1,    python,   3.5.1
                 gregpoore/Deep_Learning, 7bbb6736076f1b9bea7ff3168d5d625520da9bc4,         1,    python,   3.6.2
                   gsantoro/sna-notebook, b5d43b41e03a28beba059eb28ebc53c32323ab59,         1,    python,   3.6.0
                   gtback/pytn-datetimes, 16308e72a6c7f0368d29b50014f75b8a801a97bf,         1,    python,   3.6.0
                          gulley/collatz, b9ef2a6324e45bdf1de94c01eabe2628e0f4e8f6,         1,    python,   3.6.1
             gxie20/tv-script-generation, 1fd7f01a0a42021e223ccd98eabe2c4ccb16e241,         1,    python,   3.5.2
                              gyglim/dvn, 5fbfd2bf6a13701a3cb70f29b8dc4f7817780988,         1,    python,   2.7.6
    haakenlid/python-challenge-solutions, f18ceecfdf5bc61c714a6e19b10a783d5cec202b,         1,    python, 3.7.0b1
                      hahdawg/pdparallel, 67395d2febbded3279455b7f50e40b6815ef62ca,         1,    python,  2.7.13
      hongyang01613/First_neural_network, b57ad2272a91e1f2cea4250a6602e8d32e005032,         1,    python,   3.5.4
                      haishenming/uda-u5, 8e4a5a6bd4eab8fc6228de85fb133162eff6fdbc,         1,    python,   3.6.3
               haotiansun/Neural-Network, ccbe6c071bb95aac27c6be037e7b311287db561c,         1,    python,   3.5.3
                    hardingnj/genomeplot, f280735adc2a97f14142717e1aa3e9b4ca1b2809,         1,    python,   3.6.4
         haribaskar/apiai-search-webhook, ee393f525287f3ad739920388b85e4c4710fda1c,         1,    python,   3.5.2
 harpreetsingh/first-neural-network-bike, 9435a3668c07f1234883a7818ac600fa0442f783,         1,    python,   3.6.4
                     heglex/gene-science, 84eae795c781459dfd3a5b5fb2ac8f86a74f8354,         1,    python,   3.6.0
  herzogmartin/dlnd_first-neural-network, 3dd377db57dee19688c5112a979e1c2c9fec3d7a,         1,    python,   3.6.3
                  hetul-patel/python-spi, 97746d0903519fa4bf05570cb56dfefc40d731f9,         1,    python,   3.6.1
                 hhllcks/footballdataorg, 991528a802655342c5bb61fc0684aeac7a43a69a,         1,    python,   3.6.0
               hhu28/miniproject-prepare, 9d623f628a518bd689f53f9a37a76b222dabb794,         1,    python,  2.7.13
             hkeeler/sac-civic-hack-2016, 162e01b7b21ee6a21a7c189e71563f54d4b107b8,         1,    python,   3.5.1
hlfshell/udacity-deeplearningND-first-neural-network, 09da432311a3896b1ea189851d0adb103c2dc424,         1,    python,   3.6.4
                         haneensader/eeg, 825e2be9d859009536dd225c464a89747ea5a0a8,         1,    python,  2.7.13
    knf-us/pidays-2017-plotting-workshop, 42c8c43cd54e049c2c64df1c1fe8956fc0ebaf2f,         1,    python,   3.4.3
               jakekara/ctnamecleaner-py, a24e190803007a4b5c0ab3d99c9ad239f2c7d198,         1,    python,  2.7.11
                         jakesnow/quakes, 15bc223b4ba588025309f0b8590be9d713acf4ee,         1,    python,   3.6.4
    jraj002/simple_flask_docker_training, b9627b5a0922a13d41fd35a3a8fa9bb33572a6bd,         1,    python,   3.6.3
jrbourbeau/xmeeting-intro-machine-learning, 1a8c6705bd615fce7f1775b82b1efcd7f9ca381b,         1,    python,   3.6.0
                 juli0213/MyDeepLearning, b1b176a56b539853878c085c9cbcef48d9e6d547,         1,    python,   3.6.4
           juliangaal/python-cheat-sheet, cee14b11de5a3f63ed1e70453cfa4b14923cb177,         1,    python,   3.6.1
             juliencohensolal/ml_toolbox, d260bb8dd76df1fcd929a60b23c01cf4f31cfe93,         1,    python,   3.5.2
            juneyi1/KitchenNightMaresApp, e4455008b18d0a4421b7ffe7cbb895324ee2772d,         1,    python,   3.6.1
               jupyterhub/binder-billing, 78cb3be90b689fcf6bce979b4ecd94cc371dd79c,         1,    python,   3.6.2
          justinsolms/Quadcopter-Project, dee8c6f3f871f6f2360f443f4f3648c7bb445c24,         1,    python,   3.6.4
   justlittle/uda_neural_network_bicycle, 815840b4c7c24d49e1fe240ea69d97f3d74a056f,         1,    python,   3.6.1
                    jwkvam/plotlywrapper, 9d661862b6258b0907a8f851393ccfb1de36bef3,         1,    python,   3.5.2
           jxm-math/first-neural-network, eb76fc48702f9902b8777379455d4c3b5ced7713,         1,    python,   3.6.2
                  josian/PyDataSciMeetup, f3e24ab1407382a11c7e021f5d9dd76a53ef124b,         1,    python,   3.5.3
                   k-nut/flinkster-usage, 562dbe68a426e210d33afd5b45a90ee7e5d0bfad,         1,    python,   3.6.3
     kadimetla/machine-and-deep-learning, 62a1c0547a06a54e8b46464696cf9c2e48350eec,         1,    python,   3.6.3
             kamujun/naive_bayse_anatomy, 6aec78ed8acee6b6bd266506fc46faf3a5223468,         1,    python,   3.6.1
                  karanshgl/cyclotron-dl, 4f9bd5484ae5d4fe407e34ad928638009043011a,         1,    python,   3.6.2
   kartik-nighania/Neural-Network_python, be20142d8e4554e5e58924d8920d587d851a3c14,         1,    python,   3.6.3
                          katelaan/sloth, d5464e51aab3acf2613831991f4c191de01d77e8,         1,    python,   3.5.2
              katsupatree/data_wrangling, 9d16d00688fe70099e0015f6934ccfaaba38d18e,         1,    python,   3.6.0
                        kazup0n/lifegame, 2c710ed6419dd30a28dcaf5a352e08d107b08405,         1,    python,   3.6.0
         keldLundgaard/Polarizing_movies, 9af39d430dc56c9c8feec963b896b0a849a013fa,         1,    python,   3.5.1
                kingliantop/deeplearning, 84be1ee84713be5e51b1e62a567181a0a3320986,         1,    python,   3.6.1
     kirillmakhonin/ifmo-lab-python-2016, f50e9f536e538d90c511bdb7d3538e961bc2c7f9,         1,    python,   3.4.3
                          kjschiroo/mlip, 0c0bb64d8050763b368d771a174fb11754d8ebff,         1,    python,   3.5.2
          kadimetla/first-neural-network, 9dea495f9442584fdb447fe79e447c540b0ebc3d,         1,    python,   3.6.3
                          jakeret/propro, 36f4c0b634316189593548bf92b62e2d94b1a928,         1,    python,  2.7.11
            josemazo/recommender-systems, e5858b5c77dc62ad8772e8f56019c8226e5167e7,         1,    python,   3.5.2
          jordan-arenstein/matric-finals, 5e2e84af27bd911cc8b943a396fd6eae9740e970,         1,    python,   3.6.1
      jamesferry11/Udacity-Deep-Learning, f284793e20b1c9e37d553227578b2974f3e5a94d,         1,    python,   3.6.0
              jasleen19/twitter-streamer, 136ee3acc00c5ea99d6b5af96c73fabd5472a8a7,         1,    python,   3.6.3
                 jay-thakur/Bike-Sharing, c151c4b9d977a68e0303427a47f18c967cbf259b,         1,    python,   3.6.2
                           jbmorgado/isl, 1cad2d6b4385634c227ae1084b05c8308fd077d9,         1,    python,   3.5.2
            jcaraya/basic_neural_network, dbdfb50d0e906d4af720fcb73d62446b11eead45,         1,    python,   3.6.3
jcsastre/udacity_deep-learning_first-neural-network, 039f1d3f2fa3b162aa37874d252a716d55616261,         1,    python,  2.7.12
                       jeremiak/fec-data, 1ebd6be38dff29a5f98e603ac1272f119bad8098,         1,    python,   3.4.2
    jesus-a-martinez-v/bike-ridership-nn, 259ebf76c4ce1b02a2913f15d53e8b27d44a55f0,         1,    python,   3.5.2
jesusnuma/Project-3---Generate-TV-Scripts, 060d414a60b59e671002f5e9e8a1a0c4f00eb0da,         1,    python,   3.5.4
                    jgarbers/trynotebook, 575ea70689db34f723f90821ea9018b559d62d69,         1,    python,  2.7.12
                    jgomezdans/mauna_loa, aa4e650761e341d4369cef64630248ba18e4bca0,         1,    python,   3.6.2
                   jorgergb/udacity_dlnd, 6e485771fc5bfaf48555726b4455f4b66b4738c5,         1,    python,   3.6.1
                jhendric98/mlpregression, 93522e62d716a666eae76af9f10087649b912de7,         1,    python,   3.6.4
             jittat/cupt-admission-stats, 5b2c1d178ac341e2d94c8b4a2d101c7ae381c281,         1,    python,   3.5.3
        jkallioniemi/finnish-number2word, de82be17c90550067edf83082ebd912291559c0b,         1,    python,   3.6.4
                  jkanner/quickview_test, ba444d49ce0490aed122501189a24930a96e08e2,         1,    python,  2.7.12
                         jklaw90/mlstuff, c59674ef6be8a2a75d76a1b2f4a952b6599572fb,         1,    python,   3.6.3
                   jobovy/example-binder, 13a55d073847df64e33af4bc0ff21593b2112757,         1,    python,   3.5.3
          johnbradley/binderdownloadtest, 0819eb94cb7475197b21077285671e0ca9b160a2,         1,    python,  2.7.11
                     johnlam/cryptonotes, e71719357aec3863e24628ef7b0ec335c9bb3029,         1,    python,  2.7.12
                  johnwheeler/handson-ml, aa6ef68d172de1e7e18de226c7a01b1fe18374a9,         1,    python,   3.6.1
               jonatasleon/calculo-sympy, b87b61948678a14567ba74c848bd075b38dea2ea,         1,    python,   3.5.2
                jonititan/AircraftDesign, 9b0499bc10453de9f3695781d95005760055fd8c,         1,    python,  2.7.12
             jonschull/MyBinder.org-test, b0720c745f2ebdf80d0780a3c438b120ed105ccf,         1,    python,   2.7.9
        jiffyclub/ipythonblocks-mybinder, cb1508d1fc130f733022e7eea5b6f2c1f316b920,         1,    python,   3.5.1
mgacek8/Python-In-The-Enterprise-Lab01-02, 9c93257b9aa779113b0a26e49be2f54d60790e20,         1,    python,   3.6.0
             mhowto/first-neural-network, 574d8997d2886447e9c7b7af36e982a085218f0b,         1,    python,   3.6.2
               michaelbironneau/insights, 729e888eec6fc2d87b957968f05356578b08792e,         1,    python,   3.4.1
      sheikhumar93/Simple-Neural-Network, cd8b4bc42192894d1a1f678f3846d339458d9ea8,         1,    python,   3.6.0
   shekharf9/Bike-Sharing-Neural-Network, 1206cf39395b2cce9b0bac88ae8cadc36c076348,         1,    python,   3.6.1
          siddikui/Simple-Neural-Network, 8f4c0c2662efa3a4e77960010e517612f0808aed,         1,    python,   3.6.2
            siddimore/FirstNeuralNetwork, 6c0f4d37514776eb11174eefdb459ae74c9038d9,         1,    python,   3.5.2
              sidh-crypto/sidh-optimizer, 7f5da331fe3c76a7d48c95d5954b640ebf3aa6d5,         1,    python,   3.5.2
                          smk950226/ORLY, 6c118f99606763fd2ac3253c427883afc789310e,         1,    python,   3.6.2
                        smujjiga/pybytes, 418b14c31144341da4a11600fbd4aa0d3c9831a3,         1,    python,  2.7.12
                 snow13bbc/Final-Project, 6ebdd906455b8f7215dd2f2f305fb58500135973,         1,    python,   3.6.4
             snowcranestart/deeplearning, 0e35e888631e7d56f59253cae6771b45d84fd752,         1,    python,   3.5.4
        soujiro0725/cryptanalysis-python, 399b87eed7277f97916b621051dcce237863560a,         1,    python,   3.6.3
                          sp4ghet/kaggle, 419a65e89b920b667110ac64330680bf62addae6,         1,    python,   3.6.4
                      seppomerimaa/maths, 9fe6e2de2700546bd1ec490a037fa41128efd95b,         1,    python,   3.6.1
        sprij/DLNDF-first-neural-network, be057f0e515b2f85ad3ff354abd837bce5654371,         1,    python,   3.6.1
